title,pageid_url_slug,revision_id,prose_word_count,url,source,date_fetched
Gora (novel),Gora_(novel),1363339097,2083,https://en.wikipedia.org/wiki/Gora_(novel)?oldid=1363339097,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:28
Gus Giordano,Gus_Giordano,1344734528,533,https://en.wikipedia.org/wiki/Gus_Giordano?oldid=1344734528,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:29
Hannah Lalhlanpuii,Hannah_Lalhlanpuii,1365409854,247,https://en.wikipedia.org/wiki/Hannah_Lalhlanpuii?oldid=1365409854,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:29
Hong Kyehun,Hong_Kyehun,1353407338,2043,https://en.wikipedia.org/wiki/Hong_Kyehun?oldid=1353407338,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:30
Indian diaspora in the United Arab Emirates,Indian_diaspora_in_the_United_Arab_Emirates,1352502794,920,https://en.wikipedia.org/wiki/Indian_diaspora_in_the_United_Arab_Emirates?oldid=1352502794,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:30
Information technology in India,Information_technology_in_India,1359425094,2120,https://en.wikipedia.org/wiki/Information_technology_in_India?oldid=1359425094,Category:Articles containing suspected AI-generated texts from January 2026,2026-07-23 00:22:31
Islamabad Chamber of Commerce & Industry,Islamabad_Chamber_of_Commerce_&_Industry,1364359698,191,https://en.wikipedia.org/wiki/Islamabad_Chamber_of_Commerce_&_Industry?oldid=1364359698,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:32
Ismail Omar Abdul Aziz,Ismail_Omar_Abdul_Aziz,1356058336,1341,https://en.wikipedia.org/wiki/Ismail_Omar_Abdul_Aziz?oldid=1356058336,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:32
Jacques Baud,Jacques_Baud,1364678769,1068,https://en.wikipedia.org/wiki/Jacques_Baud?oldid=1364678769,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:33
Jatadhara,Jatadhara,1365059007,1264,https://en.wikipedia.org/wiki/Jatadhara?oldid=1365059007,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:33
Jihad: What Everyone Needs to Know,Jihad:_What_Everyone_Needs_to_Know,1328905076,661,https://en.wikipedia.org/wiki/Jihad:_What_Everyone_Needs_to_Know?oldid=1328905076,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:33
Jim Mokoena,Jim_Mokoena,1360123324,255,https://en.wikipedia.org/wiki/Jim_Mokoena?oldid=1360123324,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:34
Joem Bascon,Joem_Bascon,1365012832,218,https://en.wikipedia.org/wiki/Joem_Bascon?oldid=1365012832,Category:Articles containing suspected AI-generated texts from May 2026,2026-07-23 00:22:35
Juan Héctor Sylvestre Begnis,Juan_Héctor_Sylvestre_Begnis,1347635259,283,https://en.wikipedia.org/wiki/Juan_Héctor_Sylvestre_Begnis?oldid=1347635259,Category:Articles containing suspected AI-generated texts from February 2026,2026-07-23 00:22:35
Karumadikkuttan,Karumadikkuttan,1341442533,387,https://en.wikipedia.org/wiki/Karumadikkuttan?oldid=1341442533,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:35
Keeley Kustermann,Keeley_Kustermann,1350708507,309,https://en.wikipedia.org/wiki/Keeley_Kustermann?oldid=1350708507,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:36
Keith W. Kelley,Keith_W._Kelley,1365507457,863,https://en.wikipedia.org/wiki/Keith_W._Kelley?oldid=1365507457,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:37
